State,District,Crop_Year,Season,Crop,Area,Production,Min_Price,Max_Price,Modal_Price,Zn ,Fe,'Cu \%','Mn \%','B \%','S \%',JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
BIHAR,BANKA,2014,'Winter     ',RICE,91863,323625,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,17,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0,1.2,1061,50.5,112.9,848.6,49
BIHAR,BANKA,2014,'Summer     ',MAIZE,3280,13565,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,17,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0,1.2,1061,50.5,112.9,848.6,49
BIHAR,BANKA,2014,'Rabi       ',MAIZE,683,1679,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,17,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0,1.2,1061,50.5,112.9,848.6,49
BIHAR,BANKA,2000,'Autumn     ',RICE,121873,138302,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
BIHAR,BANKA,2000,'Kharif     ',MAIZE,11579,15486,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
BIHAR,BANKA,2000,'Kharif     ',RICE,1,2,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
BIHAR,BANKA,2000,'Rabi       ',BARLEY,1083,1369,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
BIHAR,BANKA,2000,'Rabi       ',MAIZE,2166,5976,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
BIHAR,BANKA,2000,'Rabi       ',WHEAT,36107,47416,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
BIHAR,BANKA,2000,'Summer     ',MAIZE,2580,8887,2601.302045,2851.204866,2791.111097,0.09,0.12,0.12,0.09,0.15,0.03,0.5,12.1,3.6,37.2,96.2,267.2,264.3,201.4,314.8,9.6,0,0.1,1207,12.7,137,1047.7,9.7
